service,category,operation,provider,resource_type,gap_filled
identity,AuditLogs,Add member to group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add member to role in PIM requested (timebound),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add member to role request approved (PIM activation),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add member to role requested (PIM activation),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add passwordless phone sign-in credential,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add registered owner to device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Administrator directly assigns user to access package,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Approval_GetAll,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Approve access package assignment request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Assign label to group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Auto apply review,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Consent to application,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Create access package catalog,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Create request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Create resource request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,CreateBulkJob,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete access package,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete access package assignment request for a deleted user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete access package resource role scope,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Device no longer managed,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Disable account,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Entitlement Management removes access package assignment request for user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Evaluate conditional access policies,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Finish applying group based license to users,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Fulfill access package resource assignment,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get configured custom identity providers,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get configured local identity providers,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get passkey creation options,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get resource properties of a tenant,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Hard Delete user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Hard delete service principal,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Invite external user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Issue an id_token to the application,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Recover device local administrator password,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Register device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove access package resource assignment,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove app role assignment from user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove service principal,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Reset user password,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Send verification email,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update StsRefreshTokenValidFrom Timestamp,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User registered security info,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User requests to extend access package assignment,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User reset password,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User started security info registration,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User was marked as risky by Entra ID Protection requested access to an access package,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Validate Password,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Validate user authentication,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Verify one time password,Microsoft.AADIAM,diagnosticSettings,
identity,RiskyUsers,Risky user,Microsoft.AADIAM,diagnosticSettings,
intunelogshipping,AuditLogs,Create NotificationMessageTemplate,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Create localized message NotificationMessageTemplate,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Delete DeviceManagementConfigurationPolicy,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Delete ManagedDevice,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Get DeviceConfiguration,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Patch DeviceConfiguration,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Patch NotificationMessageTemplate,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,SetReference MobileApp,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,initiateOnDemandProactiveRemediation ManagedDevice,Microsoft.Intune,diagnosticSettings,
logshipping,Administrative,Add member to role in PIM completed (permanent),Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,CALL MANAGEMENT API,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/APIS/REVISIONS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/TENANT/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/USERS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/WORKSPACES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COGNITIVESERVICES/ACCOUNTS/LISTKEYS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/RESTOREPOINTS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/RESTOREPOINTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/VIRTUALMACHINES/RUNCOMMAND/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/TRUSTEDACCESSROLEBINDINGS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.DATAMIGRATION/SQLMIGRATIONSERVICES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.DESKTOPVIRTUALIZATION/HOSTPOOLS/SESSIONHOSTS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.DESKTOPVIRTUALIZATION/HOSTPOOLS/SESSIONHOSTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.DESKTOPVIRTUALIZATION/HOSTPOOLS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.DEVTESTLAB/SCHEDULES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.DEVTESTLAB/SCHEDULES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
